SpecID	Species	Wings	Green	Brown	Combined	Polymorphic	Pied	SexualDimorphism	AgeDependence	OtherVariants	RemarksMorphs	SourceMorphs
S01760	Pycnogaster (Pycnogaster) graellsii	.	common	dominant	common-dominant	polymorphic	absent	absent	absent	.	.	https://www.biodiversidadvirtual.org/insectarium/Pycnogaster-(Pycnogaster)-graellsii-Bolivar-1873-img1096691.html
S01770	Pycnogaster (Pycnogaster) valentini	.	common	dominant	common-dominant	polymorphic	absent	absent	absent	.	.	.
S01780	Albarracinia zapaterii	.	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"image of green in Fauna Catalunya, image of multiple green and one almost brown on GoE"
S01790	Baetica ustulata	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	green? -> https://www.biodiversidadvirtual.org/insectarium/Baetica-ustulata-(Rambur-1838)-img717479.html
S01800	Callicrania (Callicrania) belarrensis	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S01810	Callicrania (Callicrania) denticulata	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	just on image on google search
S01820	Callicrania (Callicrania) plaxicauda	.	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"some images on flickr, some on google search, one brown https://www.google.de/url?sa=i&rct=j&q=&esrc=s&source=images&cd=&ved=2ahUKEwi27bClzPTlAhXR0aQKHXsxC1UQjRx6BAgBEAQ&url=https%3A%2F%2Fwww.pinterest.es%2Fpin%2F652740539713674728%2F&psig=AOvVaw3mUPY0iSXGpbuyQW2MjB79&ust=1574195210881085"
S01830	Callicrania (Callicrania) ramburii	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	many images on google search
S01840	Callicrania (Mucrocallicrania) demandae	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	"several images on google search, including on pale, but still clearly green"
S01850	Callicrania (Mucrocallicrania) faberi	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	"a few individuals on google search, https://www.biodiversidadvirtual.org/insectarium/Callicrania-(Mucrocallicrania)-faberi-(Harz-1978)-img176196.html; https://www.iucnredlist.org/species/64553381/75338128"
S01860	Callicrania (Mucrocallicrania) vicentae	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	"some images on flickr, some on google search"
S01870	Coracinotus notarioi	.	absent	mono	absent-mono	brown	absent	absent	absent	.	only one image	clearly brown individual https://www.iucnredlist.org/species/44710894/75338262
S01880	Coracinotus politus	.	absent	mono	absent-mono	brown	absent	absent	absent	.	.	https://www.biodiversidadvirtual.org/insectarium/Coracinotus-politus-(Bolivar-1901)-img848128.html
S01890	Coracinotus presai	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S01900	Coracinotus squamiferus	.	NA	NA	NA	NA	NA	NA	NA	.	.	.
S01910	Corsteropleurus chopardi	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	multiple images on google search
S01920	Ephippiger apulus	short	common	dominant	common-dominant	polymorphic	absent	absent	absent	.	.	"image of green in Fauna Italy, images of brown on GoE, image of non-green https://www.naturamediterraneo.com/forum/topic.asp?TOPIC_ID=240990"
S01930	Ephippiger camillae	short	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S01940	Ephippiger carlottae	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	image of both morphs on GoE
S01950	Ephippiger cavannai	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"images of green on GoE, image of brown https://www.google.de/search?hl=de&biw=1680&bih=914&tbm=isch&sa=1&ei=6QHTXdaANtrAmwX_r5GoBw&q=Ephippiger+carlottae&oq=Ephippiger+carlottae&gs_l=img.3...197461.197461..198053...0.0..0.135.135.0j1......0....2j1..gws-wiz-img.Dl_-JF3c7BU&ved=0ahUKEwiWmcy_z_TlAhVa4KYKHf9XBHUQ4dUDCAY&uact=5#imgrc=EpfrbsdPUYZuMM: and https://www.google.de/search?hl=de&biw=1680&bih=914&tbm=isch&sa=1&ei=6QHTXdaANtrAmwX_r5GoBw&q=Ephippiger+carlottae&oq=Ephippiger+carlottae&gs_l=img.3...197461.197461..198053...0.0..0.135.135.0j1......0....2j1..gws-wiz-img.Dl_-JF3c7BU&ved=0ahUKEwiWmcy_z_TlAhVa4KYKHf9XBHUQ4dUDCAY&uact=5#imgrc=xAZG4VkSTdCXJM:"
S01960	Ephippiger discoidalis	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"image of very pale indiviudal in Bellmann, images of brown on flickr, images of both morphs on GoE, also Field Guide Italy"
S01970	Ephippiger diurnus	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"Field guide France, Bellmann, images of multiple non-green in OrthopteraApp"
S01980	Ephippiger ephippiger	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"Field guide Austria, image of brown on GxE"
S01990	Ephippiger melisi	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	"multiple images of green in OSF, image of brown on GoE"
S02000	Ephippiger perforatus	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	.
S02010	Ephippiger persicarius	short	dominant	regular	dominant-regular	polymorphic	absent	absent	absent	.	.	"Field guide Austria, Bellmann (beige), images of multiple pale beige indiviuals in OrthopteraApp"
S02020	Ephippiger provincialis	.	common	dominant	common-dominant	polymorphic	absent	absent	absent	.	.	Field guide France
S02030	Ephippiger ruffoi	short	common	dominant	common-dominant	polymorphic	absent	absent	absent	.	.	.
S02040	Ephippiger terrestris	short	dominant	common	dominant-common	polymorphic	absent	absent	absent	.	.	"Field guide France, images of multiple pale non-green in OrthopteraApp, also brown in Field Guide Italy, Bellmann France"
S02050	Ephippiger zelleri	short	dominant	rare	dominant-rare	polymorphic	absent	absent	absent	.	.	image of brown in Field Guide Italy
S02060	Ephippigerida (Ephippigerida) areolaria	.	regular	dominant	regular-dominant	polymorphic	absent	absent	absent	.	just one image	"image of brown in Fauna Catalunya, images of both morphs Grasshoppers of Europe"
S02070	Ephippigerida (Ephippigerida) asella	.	common	dominant	common-dominant	polymorphic	absent	absent	absent	.	just one image	"image of brown in Fauna Catalunya, images of both morphs on google search, e.g. green https://www.biodiversidadvirtual.org/insectarium/Ephippigerida-asella-Navas-1907-img112833.html"
S02080	Ephippigerida (Ephippigerida) carinata	.	mono	absent	mono-absent	green	absent	absent	absent	.	.	.
S02090	Ephippigerida (Ephippigerida) longicauda	.	NA	NA	NA	NA	NA	NA	NA	.	no images	.
