SpecID	Species	R01_Britain	R02_SwedenNorway	R03_FinlandBaltic	R04_France	R05_Central_Europe	R06_Eastern_Europe	R07_Iberian_peninsula	R08_Italy	R09_BalkanBulgariaRomania	R10_Greece	R11_Southern_Russia	R12_Kazakhstan	R13_Caucasus	Rex	SumRegions	RemarksDistribution
S02080	Ephippigerida carinata	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02090	Ephippigerida longicauda	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02100	Ephippigerida marceti	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02110	Ephippigerida pantingana	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02120	Ephippigerida saussureiana	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02130	Ephippigerida (Ephippigerida) diluta	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02140	Ephippigerida (Ephippigerida) rosae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02150	Ephippigerida (Lobionifera) laserena	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02160	Lluciapomaresius anapaulae	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02170	Lluciapomaresius asturiensis	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02180	Lluciapomaresius eclipticus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02190	Lluciapomaresius nobrei	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02200	Lluciapomaresius ortegai	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02210	Lluciapomaresius panteli	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02220	Lluciapomaresius stalii	-	-	-	x	-	-	x	-	-	-	-	-	-	-	2	.
S02230	Lucasinova nigromarginata	-	-	-	x	-	-	-	x	-	-	-	-	-	x	3	.
S02240	Neocallicrania barrosi	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02250	Neocallicrania bolivarii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02260	Neocallicrania lusitanica	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02270	Neocallicrania miegii	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02280	Neocallicrania selligera	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02290	Neocallicrania serrata	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
S02300	Parasteropleurus balearicus	-	-	-	-	-	-	x	-	-	-	-	-	-	-	1	.
