SpecID	Suborder	Superfamily	Family	Subfamily	Tribe	Genus	Subgenus	Species	Synonyms	AlternativeGenus	Subspecies	RemarksTaxonomy
S00990	Ensifera	Gryllotalpoidea	Myrmecophilidae	Myrmecophilinae	Myrmecophilini	Myrmecophilus	Myrmecophilus (Myrmecophilus)	Myrmecophilus (Myrmecophilus) aequispina	.	.	.	.
S01000	Ensifera	Gryllotalpoidea	Myrmecophilidae	Myrmecophilinae	Myrmecophilini	Myrmecophilus	Myrmecophilus (Myrmecophilus)	Myrmecophilus (Myrmecophilus) balcanicus	.	.	.	.
S01010	Ensifera	Gryllotalpoidea	Myrmecophilidae	Myrmecophilinae	Myrmecophilini	Myrmecophilus	Myrmecophilus (Myrmecophilus)	Myrmecophilus (Myrmecophilus) baronii	.	.	.	.
S01020	Ensifera	Gryllotalpoidea	Myrmecophilidae	Myrmecophilinae	Myrmecophilini	Myrmecophilus	Myrmecophilus (Myrmecophilus)	Myrmecophilus (Myrmecophilus) fuscus	.	.	.	.
S01030	Ensifera	Gryllotalpoidea	Myrmecophilidae	Myrmecophilinae	Myrmecophilini	Myrmecophilus	Myrmecophilus (Myrmecophilus)	Myrmecophilus (Myrmecophilus) gallicus	.	.	.	.
S01040	Ensifera	Gryllotalpoidea	Myrmecophilidae	Myrmecophilinae	Myrmecophilini	Myrmecophilus	Myrmecophilus (Myrmecophilus)	Myrmecophilus (Myrmecophilus) hirticaudus	"Myrmecophilus termitophilus, Myrmecophilus zorae"	.	.	.
S01050	Ensifera	Gryllotalpoidea	Myrmecophilidae	Myrmecophilinae	Myrmecophilini	Myrmecophilus	Myrmecophilus (Myrmecophilus)	Myrmecophilus (Myrmecophilus) myrmecophilus	.	.	.	.
S01060	Ensifera	Gryllotalpoidea	Myrmecophilidae	Myrmecophilinae	Myrmecophilini	Myrmecophilus	Myrmecophilus (Myrmecophilus)	Myrmecophilus (Myrmecophilus) nonveilleri	.	.	.	.
S01070	Ensifera	Gryllotalpoidea	Myrmecophilidae	Myrmecophilinae	Myrmecophilini	Myrmecophilus	Myrmecophilus (Myrmophilina)	Myrmecophilus (Myrmophilina) ochraceus	Myrmecophilina salomonis	.	.	.
S01080	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Aemodogryllinae	Aemodogryllini	Diestrammena	Diestrammena	Diestrammena asynamora	.	.	.	.
S01090	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Capraiacris)	Dolichopoda (Capraiacris) aegilion	.	.	.	.
S01100	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Capraiacris)	Dolichopoda (Capraiacris) baccettii	.	.	.	.
S01110	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Capraiacris)	Dolichopoda (Capraiacris) bolivari	.	.	.	.
S01120	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Chopardina)	Dolichopoda (Chopardina) bormansi	.	.	.	.
S01130	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Chopardina)	Dolichopoda (Chopardina) cyrnensis	.	.	.	.
S01140	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Chopardina)	Dolichopoda (Chopardina) lustriae	.	.	.	.
S01150	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Chopardina)	Dolichopoda (Chopardina) muceddai	.	.	.	.
S01160	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Chopardina)	Dolichopoda (Chopardina) remyi	.	.	.	.
S01170	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Chopardina)	Dolichopoda (Chopardina) schiavazzii	.	.	.	.
S01180	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) annae	.	.	.	.
S01190	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) araneiformis	.	.	.	.
S01200	Ensifera	Rhaphidophoroidea	Rhaphidophoridae	Dolichopodainae	Dolichopodaini	Dolichopoda	Dolichopoda (Dolichopoda)	Dolichopoda (Dolichopoda) azami	.	.	including ligustica	.
